id;date;title;content;published
1;2024-01-22T03:27:18;versus;../fake-data/blob/hipster.txt;false
2;2024-01-21T14:24:36;sedately;../fake-data/blob/hipster.txt;true
3;2024-01-21T12:19:28;cooperative oof;../fake-data/blob/hipster.txt;true
4;2024-01-21T22:01:55;across;../fake-data/blob/hipster.txt;true
5;2024-01-21T07:25:34;cook once;../fake-data/blob/hipster.txt;false
6;2024-01-22T02:02:55;pace unpleasant;../fake-data/blob/hipster.txt;false
7;2024-01-22T01:40:06;wrestler failing;../fake-data/blob/hipster.txt;true
8;2024-01-21T13:16:59;otter however;../fake-data/blob/hipster.txt;true
9;2024-01-21T21:33:49;grandpa;../fake-data/blob/hipster.txt;false
10;2024-01-21T10:02:08;yuck;../fake-data/blob/hipster.txt;false
